angle_fit, V_pd_fit
2.875977653631285307e+02,3.394626448798800933e+00
2.896089385474860478e+02,4.123256379741351729e+00
2.916201117318435649e+02,4.912055892381430589e+00
2.936312849162011389e+02,5.757138994519891639e+00
2.956424581005586560e+02,6.654342414894648172e+00
2.976536312849162300e+02,7.599246113385527579e+00
2.996648044692737471e+02,8.587195056181686326e+00
3.016759776536313211e+02,9.613322148637065467e+00
3.036871508379888382e+02,1.067257221283538193e+01
3.056983240223463554e+02,1.175972689174111352e+01
3.077094972067039294e+02,1.286943035724611129e+01
3.097206703910614465e+02,1.399621569546260957e+01
3.117318435754190205e+02,1.513453183927629730e+01
3.137430167597765376e+02,1.627877091547707877e+01
3.157541899441341116e+02,1.742329587174333128e+01
3.177653631284916287e+02,1.856246824737549872e+01
3.197765363128492027e+02,1.969067595096865375e+01
3.217877094972067198e+02,2.080236090817691874e+01
3.237988826815642369e+02,2.189204644336550842e+01
3.258100558659218109e+02,2.295436426025460364e+01
3.278212290502793280e+02,2.398408088863618914e+01
3.298324022346369020e+02,2.497612346687552076e+01
3.318435754189944191e+02,2.592560473317978875e+01
3.338547486033519931e+02,2.682784710251641869e+01
3.358659217877095102e+02,2.767840571056583698e+01
3.378770949720670842e+02,2.847309031118463096e+01
3.398882681564246013e+02,2.920798591950106982e+01
3.418994413407821185e+02,2.987947209894625900e+01
3.439106145251396924e+02,3.048424079720356517e+01
3.459217877094972096e+02,3.101931264320836235e+01
3.479329608938547835e+02,3.148205162491171905e+01
3.499441340782123007e+02,3.187017807549797865e+01
3.519553072625698746e+02,3.218177990408081257e+01
3.539664804469273918e+02,3.241532201554962711e+01
3.559776536312849089e+02,3.256965387315989346e+01
3.579888268156424829e+02,3.264401516661078517e+01
3.600000000000000000e+02,3.263803955768626963e+01
